Guid,SBQQ__LookupField__c,SBQQ__MatchType__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__PriceRule2__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedValue__c
45eebf1d-ac08-4616-b703-96eeaf0f94ab,Role__c,Field Value,equals,false,d5a0d090-8751-40fd-8a63-13af320d4f17,Professional_Services_Rate__c,true,SBQQ__Product__c,Quote Line,#N/A
ed67fdc8-55cf-469f-b0b7-d22abe1a7402,Engineering_Options__c,Field Value,equals,false,5a6f0ffa-c44f-4c1a-b33c-de3816b8328d,Professional_Services_Rate__c,true,Engineering_Options__c,Quote Line,#N/A
1733a29f-cdc1-4138-9814-ecd5fc04eeb5,Approval_Level__c,Static Value,equals,false,6cb97072-e533-4b92-b639-e410462e3639,Approval_Threshold__c,true,#N/A,#N/A,1
d585f22a-a77c-4d3e-94c9-0675c6cc428d,Threshold_Type__c,Static Value,equals,true,808b5fa3-de52-4491-863f-0275290e7330,Approval_Threshold__c,true,#N/A,#N/A,Discount
a2c6e105-a813-463e-84b5-faa923fe4d8a,Upper_Bound_Percent__c,Field Value,less than,false,27c8740f-f6b8-45bf-9340-44989be5c83f,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
b784634d-8335-497f-9491-7decc1dab173,Approval_Level__c,Static Value,equals,false,f179679d-0dd2-47d5-b9fd-63a8c18aae33,Approval_Threshold__c,true,#N/A,#N/A,2
849591ce-ef9e-49a5-9c30-9dc6218d792a,Lower_Bound_Percent__c,Field Value,greater or equals,false,ec524a03-1e8a-4ee6-8247-591b7d5d6da0,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
3a4cc6f2-b328-4cc7-afbc-72565f31cf50,Product__c,Field Value,equals,false,6cb97072-e533-4b92-b639-e410462e3639,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
49c59b3f-b132-4225-8722-cb59d754e91a,Resource_Location__c,Field Value,equals,false,c03b4be9-4f92-46b5-8b67-bb809c9379f9,Professional_Services_Rate__c,true,Resource_Location__c,Quote Line,#N/A
41843b5c-1ac2-4940-a6ca-4476cdee5096,Product__c,Field Value,equals,false,28642394-525e-4049-a073-677c9dbc3229,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
4413b98c-2a9b-4b5a-9404-3bb954b94763,Upper_Bound_Percent__c,Field Value,less than,true,808b5fa3-de52-4491-863f-0275290e7330,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
dc61cb9f-a0b9-42b8-a3e3-359a61b671b4,Approval_Level__c,Static Value,equals,false,28642394-525e-4049-a073-677c9dbc3229,Approval_Threshold__c,true,#N/A,#N/A,2
844c27e1-2771-4418-9ab0-44eede805760,Upper_Bound_Percent__c,Field Value,less than,false,6fe97c32-7928-4c45-ae8a-158c621d9b14,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
